date,expiration,contractLength,type,strike,bid,ask,midpoint,blackScholesPrice,stockPriceAtExpiration,profitable,return
2018-06-01,2018-06-15,14,call,193.0,80.65,80.85,80.75,79.77978228720863,276.6,True,3.5294117647059107
2018-06-01,2018-06-15,14,call,194.0,79.65,79.86,79.755,78.78169825760867,276.6,True,3.567174471819983
2018-06-01,2018-06-15,14,call,195.0,78.65,78.86,78.755,77.7836142280087,276.6,True,3.6124690495841882
2018-06-01,2018-06-15,14,call,196.0,77.64,77.86,77.75,76.78553019840876,276.6,True,3.665594855305496
2018-06-01,2018-06-15,14,call,197.0,76.64,76.86,76.75,75.7874461688088,276.6,True,3.713355048859965
2018-06-01,2018-06-15,14,call,198.0,75.64,75.86,75.75,74.78936213920883,276.6,True,3.762376237623792
2018-06-01,2018-06-15,14,call,199.0,74.64,74.86,74.75,73.7912781096089,276.6,True,3.8127090301003648
2018-06-01,2018-06-15,14,call,200.0,73.65,73.86,73.755,72.79319408000893,276.6,True,3.857365602332082
2018-06-01,2018-06-15,14,call,201.0,72.66,72.86,72.75999999999999,71.79511005040897,276.6,True,3.903243540406861
2018-06-01,2018-06-15,14,call,202.0,71.66,71.86,71.75999999999999,70.79702602080903,276.6,True,3.9576365663322637
2018-06-01,2018-06-15,14,call,203.0,70.66,70.87,70.765,69.79894199120906,276.6,True,4.006217763018473
2018-06-01,2018-06-15,14,call,204.0,69.66,69.87,69.765,68.80085796160913,276.6,True,4.0636422274779935
2018-06-01,2018-06-15,14,call,205.0,68.65,68.87,68.76,67.80277393200916,276.6,True,4.13030831879002
2018-06-01,2018-06-15,14,call,206.0,67.65,67.87,67.76,66.8046899024092,276.6,True,4.1912632821723985
2018-06-01,2018-06-15,14,call,207.0,66.65,66.87,66.76,65.80660587280926,276.6,True,4.254044337926929
2018-06-01,2018-06-15,14,call,208.0,65.65,65.87,65.76,64.80852184320929,276.6,True,4.3187347931873745
2018-06-01,2018-06-15,14,call,209.0,64.66,64.87,64.765,63.810437813609326,276.6,True,4.377364317146641
2018-06-01,2018-06-15,14,call,210.0,63.67,63.87,63.769999999999996,62.81235378400939,276.6,True,4.437823427944217
2018-06-01,2018-06-15,14,call,211.0,62.67,62.88,62.775000000000006,61.81426975440942,276.6,True,4.500199123855064
2018-06-01,2018-06-15,14,call,212.0,61.67,61.88,61.775000000000006,60.81618572480946,276.6,True,4.573047349251342
2018-06-01,2018-06-15,14,call,213.0,60.66,60.88,60.769999999999996,59.81810169520952,276.6,True,4.656903077176282
2018-06-01,2018-06-15,14,call,214.0,59.66,59.88,59.769999999999996,58.820017665609555,276.6,True,4.734816797724656
2018-06-01,2018-06-15,14,call,215.0,58.67,58.88,58.775000000000006,57.82193363600959,276.6,True,4.806465333900496
2018-06-01,2018-06-15,14,call,216.0,57.66,57.88,57.769999999999996,56.82384960640965,276.6,True,4.8987363683573255
2018-06-01,2018-06-15,14,call,217.0,56.67,56.88,56.775000000000006,55.82576557680969,276.6,True,4.975781594011478
2018-06-01,2018-06-15,14,call,218.0,55.68,55.88,55.78,54.82768154720972,276.6,True,5.055575475080713
2018-06-01,2018-06-15,14,call,219.0,54.68,54.89,54.785,53.829597517609784,276.6,True,5.138267774025785
2018-06-01,2018-06-15,14,call,220.0,53.68,53.89,53.785,52.83151348800982,276.6,True,5.233801245700523
2018-06-01,2018-06-15,14,call,221.0,52.67,52.89,52.78,51.83342945840988,276.6,True,5.342932929139867
2018-06-01,2018-06-15,14,call,222.0,51.67,51.89,51.78,50.835345428809916,276.6,True,5.446118192352301
2018-06-01,2018-06-15,14,call,223.0,50.67,50.89,50.78,49.83726139920995,276.6,True,5.553367467506934
2018-06-01,2018-06-15,14,call,224.0,49.68,49.89,49.785,48.83917736961001,276.6,True,5.6543135482575595
